Time,GeoType,GeoID,GeoRank,Geography,Degrees Fahrenheit degrees Fahrenheit
2018,NTA2010,4779,8,Ocean Hill,101
2018,NTA2010,4781,8,Brownsville,101
2018,NTA2010,4782,8,East New York,101
2018,NTA2010,4783,8,Cypress Hills-City Line,99
2018,NTA2010,4785,8,East New York (Pennsylvania Ave),101
2018,NTA2010,4788,8,Borough Park,100
2018,NTA2010,4790,8,East Williamsburg,100
2018,NTA2010,4791,8,East Flatbush-Farragut,101
2018,NTA2010,4793,8,Starrett City,95
2018,NTA2010,4795,8,Erasmus,99
2018,NTA2010,4796,8,Rugby-Remsen Village,100
2018,NTA2010,6101,8,Marble Hill-Inwood,97
2018,NTA2010,6103,8,Central Harlem North-Polo Grounds,98
2018,NTA2010,6104,8,Hamilton Heights,95
2018,NTA2010,6106,8,Manhattanville,97
2018,NTA2010,6109,8,Morningside Heights,96
2018,NTA2010,6111,8,Central Harlem South,98
2018,NTA2010,6112,8,Upper West Side,96
2018,NTA2010,6113,8,Hudson Yards-Chelsea-Flatiron-Union Square,99
2018,NTA2010,6114,8,Lincoln Square,96
2018,NTA2010,6115,8,Clinton,98
2018,NTA2010,6117,8,Midtown-Midtown South,97
2018,NTA2010,6119,8,Turtle Bay-East Midtown,97
2018,NTA2010,6120,8,Murray Hill-Kips Bay,98
2018,NTA2010,6121,8,Gramercy,100
2018,NTA2010,6122,8,East Village,98
2018,NTA2010,6123,8,West Village,98
2018,NTA2010,6124,8,SoHo-TriBeCa-Civic Center-Little Italy,99
2018,NTA2010,6125,8,Battery Park City-Lower Manhattan,93
2018,NTA2010,6127,8,Chinatown,98
2018,NTA2010,6128,8,Lower East Side,97
2018,NTA2010,6131,8,Lenox Hill-Roosevelt Island,96
2018,NTA2010,6132,8,Yorkville,97
2018,NTA2010,6133,8,East Harlem South,98
2018,NTA2010,6134,8,East Harlem North,98
2018,NTA2010,6135,8,Washington Heights North,95
2018,NTA2010,6136,8,Washington Heights South,96
2018,NTA2010,6140,8,Upper East Side-Carnegie Hill,97
2018,NTA2010,6150,8,Stuyvesant Town-Cooper Village,94
2018,NTA2010,8101,8,South Jamaica,103
2018,NTA2010,8102,8,Springfield Gardens North,102
2018,NTA2010,8103,8,Springfield Gardens South-Brookville,101
2018,NTA2010,8105,8,Rosedale,99
2018,NTA2010,8106,8,Jamaica Estates-Holliswood,98
2018,NTA2010,8107,8,Hollis,102
2018,NTA2010,8108,8,St. Albans,102
2018,NTA2010,8110,8,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,94
2018,NTA2010,8112,8,Hammels-Arverne-Edgemere,94
2018,NTA2010,8115,8,Far Rockaway-Bayswater,96
2018,NTA2010,8117,8,Forest Hills,99
2018,NTA2010,8118,8,Rego Park,100
2018,NTA2010,8119,8,Glendale,98
2018,NTA2010,8120,8,Ridgewood,96
2018,NTA2010,8121,8,Middle Village,98
2018,NTA2010,8122,8,Flushing,100
2018,NTA2010,8123,8,College Point,100
2018,NTA2010,8125,8,Corona,101
2018,NTA2010,8126,8,North Corona,100
2018,NTA2010,8127,8,East Elmhurst,101
2018,NTA2010,8128,8,Jackson Heights,99
2018,NTA2010,8129,8,Elmhurst,101
2018,NTA2010,8130,8,Maspeth,100
2018,NTA2010,8131,8,Hunters Point-Sunnyside-West Maspeth,99
2018,NTA2010,8133,8,Cambria Heights,102
2018,NTA2010,8134,8,Queens Village,103
2018,NTA2010,8135,8,Briarwood-Jamaica Hills,101
2018,NTA2010,8137,8,Kew Gardens Hills,100
2018,NTA2010,8138,8,Pomonok-Flushing Heights-Hillcrest,101
2018,NTA2010,8141,8,Fresh Meadows-Utopia,100
2018,NTA2010,8142,8,Oakland Gardens,98
2018,NTA2010,8143,8,Bellerose,101
2018,NTA2010,8144,8,Glen Oaks-Floral Park-New Hyde Park,100
2018,NTA2010,8145,8,Douglas Manor-Douglaston-Little Neck,97
2018,NTA2010,8146,8,Bayside-Bayside Hills,100
2018,NTA2010,8147,8,Ft. Totten-Bay Terrace-Clearview,98
2018,NTA2010,8148,8,Auburndale,101
2018,NTA2010,8149,8,Whitestone,100
2018,NTA2010,8150,8,Elmhurst-Maspeth,100
2018,NTA2010,8151,8,Murray Hill,100
2018,NTA2010,8152,8,East Flushing,101
2018,NTA2010,8153,8,Woodhaven,100
2018,NTA2010,8154,8,Richmond Hill,102
2018,NTA2010,8155,8,South Ozone Park,102
2018,NTA2010,8156,8,Ozone Park,101
2018,NTA2010,8157,8,Lindenwood-Howard Beach,97
2018,NTA2010,8160,8,Kew Gardens,98
2018,NTA2010,8161,8,Jamaica,103
2018,NTA2010,8162,8,Queensboro Hill,100
2018,NTA2010,8163,8,Woodside,100
2018,NTA2010,8166,8,Laurelton,102
2018,NTA2010,8168,8,Queensbridge-Ravenswood-Long Island City,100
2018,NTA2010,8170,8,Astoria,98
2018,NTA2010,8171,8,Old Astoria,98
2018,NTA2010,8172,8,Steinway,98
2018,NTA2010,8176,8,Baisley Park,102
2018,NTA2010,8501,8,Annadale-Huguenot-Prince's Bay-Eltingville,96
2018,NTA2010,8505,8,New Springville-Bloomfield-Travis,97
2018,NTA2010,8507,8,Westerleigh,99
2018,NTA2010,8508,8,Grymes Hill-Clifton-Fox Hills,95
2018,NTA2010,8511,8,Charleston-Richmond Valley-Tottenville,94
2018,NTA2010,8512,8,Mariner's Harbor-Arlington-Port Ivory-Graniteville,100
2018,NTA2010,8514,8,Grasmere-Arrochar-Ft. Wadsworth,95
2018,NTA2010,8522,8,West New Brighton-New Brighton-St. George,97
2018,NTA2010,8524,8,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,98
2018,NTA2010,8525,8,Oakwood-Oakwood Beach,96
2018,NTA2010,8528,8,Port Richmond,102
2018,NTA2010,8532,8,Rossville-Woodrow,97
2018,NTA2010,8535,8,New Brighton-Silver Lake,97
2018,NTA2010,8536,8,Old Town-Dongan Hills-South Beach,97
2018,NTA2010,8537,8,Stapleton-Rosebank,96
2018,NTA2010,8545,8,New Dorp-Midland Beach,99
2018,NTA2010,8548,8,Arden Heights,98
2018,NTA2010,8554,8,Great Kills,99
2018,CD,101,6,Financial District (CD1),94
2018,CD,102,6,Greenwich Village and Soho (CD2),98
2018,CD,103,6,Lower East Side and Chinatown (CD3),98
2018,CD,104,6,Clinton and Chelsea (CD4),98
2018,CD,105,6,Midtown (CD5),98
2018,CD,106,6,Stuyvesant Town and Turtle Bay (CD6),97
2018,CD,107,6,Upper West Side (CD7),96
2018,CD,108,6,Upper East Side (CD8),97
2018,CD,109,6,Morningside Heights and Hamilton Heights (CD9),95
2018,CD,110,6,Central Harlem (CD10),98
2018,CD,111,6,East Harlem (CD11),97
2018,CD,112,6,Washington Heights and Inwood (CD12),94
2018,CD,201,6,Mott Haven and Melrose (CD1),101
2018,CD,202,6,Hunts Point and Longwood (CD2),101
2018,CD,203,6,Morrisania and Crotona (CD3),99
2018,CD,204,6,Highbridge and Concourse (CD4),98
2018,CD,205,6,Fordham and University Heights (CD5),98
2018,CD,206,6,Belmont and East Tremont (CD6),99
2018,CD,207,6,Kingsbridge Heights and Bedford (CD7),97
2018,CD,208,6,Riverdale and Fieldston (CD8),93
2018,CD,209,6,Parkchester and Soundview (CD9),98
2018,CD,210,6,Throgs Neck and Co-op City (CD10),97
2018,CD,211,6,Morris Park and Bronxdale (CD11),100
2018,CD,212,6,Williamsbridge and Baychester (CD12),98
2018,CD,301,6,Greenpoint and Williamsburg (CD1),100
2018,CD,302,6,Fort Greene and Brooklyn Heights (CD2),98
2018,CD,303,6,Bedford Stuyvesant (CD3),99
2018,CD,304,6,Bushwick (CD4),100
2018,CD,305,6,East New York and Starrett City (CD5),100
2018,CD,306,6,Park Slope and Carroll Gardens (CD6),97
2018,CD,307,6,Sunset Park (CD7),96
2018,CD,308,6,Crown Heights and Prospect Heights (CD8),98
2018,CD,309,6,South Crown Heights and Lefferts Gardens (CD9),98
2018,CD,310,6,Bay Ridge and Dyker Heights (CD10),94
2018,CD,311,6,Bensonhurst (CD11),96
2018,CD,312,6,Borough Park (CD12),99
2018,CD,313,6,Coney Island (CD13),96
2018,CD,314,6,Flatbush and Midwood (CD14),99
2018,CD,315,6,Sheepshead Bay (CD15),98
2018,CD,316,6,Brownsville (CD16),101
2018,CD,317,6,East Flatbush (CD17),99
2018,CD,318,6,Flatlands and Canarsie (CD18),98
2018,CD,401,6,Long Island City and Astoria (CD1),99
2018,CD,402,6,Woodside and Sunnyside (CD2),100
2018,CD,403,6,Jackson Heights (CD3),100
2018,CD,404,6,Elmhurst and Corona (CD4),101
2018,CD,405,6,Ridgewood and Maspeth (CD5),98
2018,CD,406,6,Rego Park and Forest Hills (CD6),99
2018,CD,407,6,Flushing and Whitestone (CD7),99
2018,CD,408,6,Hillcrest and Fresh Meadows (CD8),99
2018,CD,409,6,Kew Gardens and Woodhaven (CD9),101
2018,CD,410,6,South Ozone Park and Howard Beach (CD10),100
2018,CD,411,6,Bayside and Little Neck (CD11),98
2018,CD,412,6,Jamaica and Hollis (CD12),102
2018,CD,413,6,Queens Village (CD13),101
2018,CD,414,6,Rockaway and Broad Channel (CD14),95
2018,CD,501,6,St. George and Stapleton (CD1),98
2018,CD,502,6,South Beach and Willowbrook (CD2),95
2018,CD,503,6,Tottenville and Great Kills (CD3),95
2018,UHF42,101,4,Kingsbridge - Riverdale,92
2018,UHF42,102,4,Northeast Bronx,99
2018,UHF42,103,4,Fordham - Bronx Pk,96
2018,UHF42,104,4,Pelham - Throgs Neck,96
2018,UHF42,105,4,Crotona -Tremont,98
2018,UHF42,106,4,High Bridge - Morrisania,99
2018,UHF42,107,4,Hunts Point - Mott Haven,101
2018,UHF42,201,4,Greenpoint,100
2018,UHF42,202,4,Downtown - Heights - Slope,98
2018,UHF42,203,4,Bedford Stuyvesant - Crown Heights,98
2018,UHF42,204,4,East New York,100
2018,UHF42,205,4,Sunset Park,96
2018,UHF42,206,4,Borough Park,99
2018,UHF42,207,4,East Flatbush - Flatbush,98
2018,UHF42,208,4,Canarsie - Flatlands,96
2018,UHF42,209,4,Bensonhurst - Bay Ridge,95
2018,UHF42,210,4,Coney Island - Sheepshead Bay,97
2018,UHF42,211,4,Williamsburg - Bushwick,101
2018,UHF42,301,4,Washington Heights,94
2018,UHF42,302,4,Central Harlem - Morningside Heights,97
2018,UHF42,303,4,East Harlem,98
2018,UHF42,304,4,Upper West Side,96
2018,UHF42,305,4,Upper East Side,96
2018,UHF42,306,4,Chelsea - Clinton,98
2018,UHF42,307,4,Gramercy Park - Murray Hill,98
2018,UHF42,308,4,Greenwich Village - SoHo,98
2018,UHF42,309,4,Union Square - Lower East Side,98
2018,UHF42,310,4,Lower Manhattan,94
2018,UHF42,401,4,Long Island City - Astoria,99
2018,UHF42,402,4,West Queens,100
2018,UHF42,403,4,Flushing - Clearview,99
2018,UHF42,404,4,Bayside - Little Neck,97
2018,UHF42,405,4,Ridgewood - Forest Hills,97
2018,UHF42,406,4,Fresh Meadows,99
2018,UHF42,407,4,Southwest Queens,100
2018,UHF42,408,4,Jamaica,101
2018,UHF42,409,4,Southeast Queens,101
2018,UHF42,410,4,Rockaways,93
2018,UHF42,501,4,Port Richmond,99
2018,UHF42,502,4,Stapleton - St. George,95
2018,UHF42,503,4,Willowbrook,95
2018,UHF42,504,4,South Beach - Tottenville,95
2018,Borough,1,1,Bronx,97
2018,Borough,2,1,Brooklyn,99
2018,Borough,3,1,Manhattan,98
2018,Borough,4,1,Queens,100
2018,Borough,5,1,Staten Island,97
2018,Citywide,1,0,New York City,99
